Description,Start Date,End Date,Quantity,Unit,tCO2e,Month,Material Type
Diesel,2023-08-23,2023-08-28,36.37,gallons,0.4093297292599999,Aug '23,
Waste Management,2023-08-25,2023-08-25,12.9,dollars,0.008986923675,Aug '23,
Waste Management,2023-08-09,2023-08-25,14.74,dollars,0.010268779455,Aug '23,
Diesel,2023-08-07,2023-08-23,36.37,gallons,0.4093297292599999,Aug '23,
Waste Management,2023-08-09,2023-08-09,30.64,dollars,0.02134568538,Aug '23,
Waste Management,2023-05-26,2023-08-09,13.0,dollars,0.00905658975,Aug '23,
Waste Management,2023-08-09,2023-08-09,101.28,dollars,0.07055780076,Aug '23,
Waste Management,2023-08-09,2023-08-09,50.64,dollars,0.03527890038,Aug '23,
Waste Management,2023-08-09,2023-08-09,25.32,dollars,0.01763945019,Aug '23,
Diesel,2023-08-01,2023-08-07,31.818,gallons,0.358098799164,Aug '23,
Diesel,2023-08-01,2023-08-01,1.0,gallons,0.011254598,Aug '23,Diesels
Waste Management,2023-05-26,2023-05-26,11.97,dollars,0.0083390291775,May '23,
Waste Management,2023-05-26,2023-05-26,4.6,dollars,0.00320463945,May '23,
Waste Management,2023-05-23,2023-05-26,41.44,dollars,0.02886962148,May '23,
Waste Management,2023-05-19,2023-05-23,5.0,dollars,0.00348330375,May '23,
Waste Management,2023-05-19,2023-05-19,51.56,dollars,0.03591982827,May '23,
Waste Management,2023-03-30,2023-05-19,13.0,dollars,0.00905658975,May '23,
Waste Management,2023-02-08,2023-03-30,25.0,dollars,0.01741651875,Mar '23,
Waste Management,2023-02-08,2023-02-08,75.0,dollars,0.05224955625,Feb '23,
