Description,Start Date,End Date,Quantity,Unit,tCO2e,Month,Material Type
Waste Management,2023-09-02,2023-09-15,30.01,dollars,0.0209067891075,Sep '23,
Waste Management,2023-08-11,2023-09-02,54.99,dollars,0.0383093746425,Sep '23,
Waste Management,2023-06-21,2023-08-11,19.0,dollars,0.01323655425,Aug '23,
Waste Management,2023-06-08,2023-06-21,18.0,dollars,0.0125398935,Jun '23,
Waste Management,2023-06-08,2023-06-08,35.0,dollars,0.02438312625,Jun '23,
Waste Management,2023-06-07,2023-06-08,52.5,dollars,0.036574689375,Jun '23,
Waste Management,2023-05-10,2023-06-07,13.0,dollars,0.00905658975,Jun '23,
Waste Management,2023-05-01,2023-05-10,35.0,dollars,0.02438312625,May '23,
Waste Management,2023-05-01,2023-05-01,30.0,dollars,0.0208998225,May '23,
Waste Management,2023-04-28,2023-05-01,30.0,dollars,0.0208998225,May '23,
Waste Management,2023-04-24,2023-04-28,13.0,dollars,0.00905658975,Apr '23,
Waste Management,2023-04-22,2023-04-24,40.0,dollars,0.02786643,Apr '23,
Waste Management,2023-04-20,2023-04-22,40.0,dollars,0.02786643,Apr '23,
Waste Management,2023-04-19,2023-04-20,18.0,dollars,0.0125398935,Apr '23,
Waste Management,2023-04-15,2023-04-19,30.0,dollars,0.0208998225,Apr '23,
Waste Management,2023-04-08,2023-04-15,40.0,dollars,0.02786643,Apr '23,
Waste Management,2023-04-06,2023-04-08,25.0,dollars,0.01741651875,Apr '23,
Waste Management,2023-04-06,2023-04-06,13.0,dollars,0.00905658975,Apr '23,
Waste Management,2023-03-25,2023-04-06,50.0,dollars,0.0348330375,Apr '23,
Waste Management,2023-03-25,2023-03-25,40.0,dollars,0.02786643,Mar '23,
Waste Management,2023-03-16,2023-03-25,28.0,dollars,0.019506501,Mar '23,
Waste Management,2023-03-12,2023-03-16,28.0,dollars,0.019506501,Mar '23,
Waste Management,2023-03-04,2023-03-12,28.0,dollars,0.019506501,Mar '23,
Waste Management,2023-02-24,2023-03-04,75.0,dollars,0.05224955625,Mar '23,
Waste Management,2023-02-16,2023-02-24,35.0,dollars,0.02438312625,Feb '23,
