Description,Start Date,End Date,Quantity,Unit,tCO2e,Month,Material Type
Waste Management,2023-06-22,2023-07-21,282.84,dollars,0.19704352653,Jul '23,
Waste Management,2023-06-15,2023-06-22,282.84,dollars,0.19704352653,Jun '23,
Waste Management,2023-06-08,2023-06-15,461.54,dollars,0.321536802555,Jun '23,
Waste Management,2023-05-18,2023-06-08,282.84,dollars,0.19704352653,Jun '23,
Waste Management,2023-05-08,2023-05-18,461.54,dollars,0.321536802555,May '23,
Waste Management,2023-04-13,2023-05-08,461.54,dollars,0.321536802555,May '23,
Waste Management,2023-04-06,2023-04-13,461.54,dollars,0.321536802555,Apr '23,
Waste Management,2023-04-05,2023-04-06,461.54,dollars,0.321536802555,Apr '23,
Waste Management,2023-04-04,2023-04-05,461.54,dollars,0.321536802555,Apr '23,
Waste Management,2023-03-30,2023-04-04,461.54,dollars,0.321536802555,Apr '23,
Waste Management,2023-01-27,2023-03-30,2543.64,dollars,1.77205415013,Mar '23,
Electricity,2023-01-07,2023-02-07,2722.0,kWh,0.74537432426,Feb '23,
Waste Management,2022-12-27,2023-01-27,5150.35,dollars,3.5880466937625,Jan '23,
Electricity,2022-09-07,2023-01-07,2499.0,kWh,0.68430949167,Jan '23,
Waste Management,2022-11-16,2022-12-27,600.0,dollars,0.41799645,Dec '22,
Waste Management,2022-11-14,2022-11-16,710.32,dollars,0.49485206394,Nov '22,
Waste Management,2022-11-14,2022-11-14,506.48,dollars,0.35284473666,Nov '22,
Electricity,2022-08-06,2022-09-07,1136.0,kWh,0.31107466288,Sep '22,
