Description,Start Date,End Date,Quantity,Unit,tCO2e,Month,Material Type
Waste Management,2023-09-13,2023-09-13,25.32,dollars,0.01763945019,Sep '23,
Waste Management,2023-09-06,2023-09-13,50.64,dollars,0.03527890038,Sep '23,
Waste Management,2023-09-06,2023-09-06,5.0,dollars,0.00348330375,Sep '23,
Waste Management,2023-09-01,2023-09-06,50.64,dollars,0.03527890038,Sep '23,
Waste Management,2023-09-01,2023-09-01,50.64,dollars,0.03527890038,Sep '23,
Waste Management,2023-09-01,2023-09-01,5.0,dollars,0.00348330375,Sep '23,
Waste Management,2023-08-30,2023-09-01,50.64,dollars,0.03527890038,Sep '23,
Waste Management,2023-08-25,2023-08-30,101.28,dollars,0.07055780076,Aug '23,
Waste Management,2023-08-25,2023-08-25,50.64,dollars,0.03527890038,Aug '23,
Waste Management,2023-08-17,2023-08-25,25.32,dollars,0.01763945019,Aug '23,
Waste Management,2023-08-17,2023-08-17,5.0,dollars,0.00348330375,Aug '23,
Waste Management,2023-08-17,2023-08-17,14.74,dollars,0.010268779455,Aug '23,
Waste Management,2023-07-13,2023-08-17,12.9,dollars,0.008986923675000001,Aug '23,
Waste Management,2023-06-28,2023-07-13,282.84,dollars,0.19704352653,Jul '23,
Waste Management,2023-06-23,2023-06-28,13.0,dollars,0.00905658975,Jun '23,
Waste Management,2023-06-16,2023-06-23,4.08,tons,0.46665,Jun '23,Waste Management
Waste Management,2023-06-09,2023-06-16,282.84,dollars,0.19704352653,Jun '23,
Waste Management,2023-06-05,2023-06-09,282.84,dollars,0.19704352653,Jun '23,
Waste Management,2023-06-02,2023-06-05,2.89,tons,0.33054375,Jun '23,Waste Management
Waste Management,2023-05-23,2023-06-02,282.84,dollars,0.19704352653,Jun '23,
Waste Management,2023-05-09,2023-05-23,2.28,tons,0.260775,May '23,Waste Management
Waste Management,2023-05-03,2023-05-09,3.84,tons,0.4392,May '23,Waste Management
Waste Management,2023-04-21,2023-05-03,3.35,tons,0.38315625,May '23,Waste Management
Waste Management,2023-04-03,2023-04-21,4.41,tons,0.5043937500000001,Apr '23,Waste Management
Waste Management,2023-03-02,2023-04-03,4.48,tons,0.5124000000000001,Apr '23,Waste Management
Waste Management,2023-02-15,2023-03-02,3.21,tons,0.36714375,Mar '23,Waste Management
Waste Management,2023-01-12,2023-02-15,3.49,tons,0.39916875,Feb '23,Waste Management
Waste Management,2022-11-28,2023-01-12,5.17,tons,0.59131875,Jan '23,Waste Management
Waste Management,2022-10-18,2022-11-28,4.13,tons,0.47236875,Nov '22,Waste Management
Waste Management,2022-10-03,2022-10-18,2.72,tons,0.3111,Oct '22,Waste Management
Waste Management,2022-09-09,2022-10-03,2.62,tons,0.2996625,Oct '22,Waste Management
Waste Management,2022-08-18,2022-09-09,3.39,tons,0.38773125,Sep '22,Waste Management
Waste Management,2022-08-18,2022-08-18,2.79,tons,0.31910625,Aug '22,Waste Management
