Description,Start Date,End Date,Quantity,Unit,tCO2e,Month,Material Type
Waste Management,2023-08-23,2023-09-20,3.24,tons,0.370575,Sep '23,Waste Management
Electricity,2023-08-30,2023-08-30,2190.0,kWh,0.694887,Aug '23,Electricity
Electricity,2023-08-01,2023-08-30,199.0,kWh,0.0631427,Aug '23,Electricity
Waste Management,2023-08-23,2023-08-23,2.8,tons,0.32025,Aug '23,Waste Management
Waste Management,2023-07-10,2023-08-23,2.09,tons,0.23904375,Aug '23,Waste Management
Electricity,2023-08-01,2023-08-01,80.0,kWh,0.025384,Aug '23,Electricity
Electricity,2023-06-30,2023-08-01,2573.9,kWh,0.8166984700000001,Aug '23,Electricity
Diesel,2023-07-14,2023-07-17,2.6,gallons,0.027267162,Jul '23,
Diesel,2023-07-10,2023-07-14,11.0,gallons,0.11536107,Jul '23,
Waste Management,2023-06-09,2023-07-10,1.59,tons,0.18185625,Jul '23,Waste Management
Waste Management,2023-07-10,2023-07-10,1.98,tons,0.2264625,Jul '23,Waste Management
Diesel,2023-07-07,2023-07-10,36.099998,gallons,0.37859403602526,Jul '23,
Diesel,2023-07-03,2023-07-07,51.0,gallons,0.53485587,Jul '23,
Diesel,2023-06-30,2023-07-03,22.1,gallons,0.231770877,Jul '23,
Electricity,2023-06-30,2023-06-30,5104.0,kWh,1.39764531632,Jun '23,
Electricity,2023-06-30,2023-06-30,2190.0,kWh,0.5996949927,Jun '23,
Diesel,2023-06-26,2023-06-30,47.700001,gallons,0.50024755948737,Jun '23,
Electricity,2023-06-30,2023-06-30,1761.0,kWh,0.48222049413,Jun '23,
Electricity,2023-06-23,2023-06-30,1153.0,kWh,0.31572982949,Jun '23,
Gas,2023-06-13,2023-06-27,7.41,gallons,0.0653133702,Jun '23,
Diesel,2023-06-23,2023-06-26,60.0,gallons,0.6292422,Jun '23,
Electricity,2023-06-06,2023-06-23,1.3273,kWh,0.000363458978909,Jun '23,
Electricity,2023-06-23,2023-06-23,20.5205,kWh,0.005619196848265,Jun '23,
Electricity,2023-06-23,2023-06-23,28.809299,kWh,0.0078889462801356,Jun '23,
Diesel,2023-06-19,2023-06-23,55.700001,gallons,0.58414651948737,Jun '23,
Electricity,2023-06-23,2023-06-23,1.3273,kWh,0.000363458978909,Jun '23,
Electricity,2023-06-23,2023-06-23,49.536499,kWh,0.0135647444777116,Jun '23,
Electricity,2023-06-23,2023-06-23,572.0,kWh,0.15663266476,Jun '23,
Diesel,2023-06-16,2023-06-19,64.099998,gallons,0.67224039602526,Jun '23,
Diesel,2023-06-12,2023-06-16,36.099998,gallons,0.37859403602526,Jun '23,
Gas,2022-08-24,2023-06-13,17.049999,gallons,0.15028244218578,Jun '23,
Diesel,2023-06-09,2023-06-12,74.0,gallons,0.7760653799999999,Jun '23,
Waste Management,2023-06-09,2023-06-09,2.91,tons,0.33283125,Jun '23,Waste Management
Waste Management,2023-05-16,2023-06-09,3.27,tons,0.37400625,Jun '23,Waste Management
Diesel,2023-06-05,2023-06-09,52.099998,gallons,0.5463919560252599,Jun '23,
Electricity,2023-06-02,2023-06-06,90.404602,kWh,0.0247557932129846,Jun '23,
Diesel,2023-06-02,2023-06-05,54.0,gallons,0.56631798,Jun '23,
Electricity,2023-06-01,2023-06-02,382.298798,kWh,0.1046861529113373,Jun '23,
Electricity,2023-06-02,2023-06-02,27.9006,kWh,0.007640114206998,Jun '23,
Diesel,2023-05-30,2023-06-02,54.599998,gallons,0.57261038102526,Jun '23,
Electricity,2023-06-02,2023-06-02,27.9006,kWh,0.007640114206998,Jun '23,
Electricity,2023-05-26,2023-06-01,572.0,kWh,0.15663266476,Jun '23,
Diesel,2023-05-23,2023-05-30,92.800003,gallons,0.97322796746211,May '23,
Electricity,2023-05-23,2023-05-26,331.735291,kWh,0.090840179413049,May '23,
Electricity,2023-05-23,2023-05-23,3.6998,kWh,0.001013128554334,May '23,
Diesel,2023-05-22,2023-05-23,63.299999,gallons,0.66385051051263,May '23,
Electricity,2023-05-23,2023-05-23,18.2377,kWh,0.004994090122541,May '23,
Electricity,2023-05-23,2023-05-23,49.271301,kWh,0.0134921244262623,May '23,
Electricity,2023-05-23,2023-05-23,69.322502,kWh,0.0189828115665916,May '23,
Electricity,2023-05-23,2023-05-23,3.6998,kWh,0.001013128554334,May '23,
Electricity,2023-04-24,2023-05-23,3.6998,kWh,0.001013128554334,May '23,
Diesel,2023-05-19,2023-05-22,61.0,gallons,0.63972957,May '23,
Diesel,2023-05-15,2023-05-19,58.799999,gallons,0.61665734551263,May '23,
Waste Management,2023-05-16,2023-05-16,2.5,tons,0.2859375,May '23,Waste Management
Waste Management,2023-05-03,2023-05-16,2.02,tons,0.2310375,May '23,Waste Management
Diesel,2023-05-12,2023-05-15,82.400002,gallons,0.8641593089747399,May '23,
Diesel,2023-05-08,2023-05-12,62.099998,gallons,0.65126565602526,May '23,
Diesel,2023-05-05,2023-05-08,67.900002,gallons,0.7120924439747399,May '23,
Diesel,2023-05-02,2023-05-05,42.900002,gallons,0.44990819397474,May '23,
Waste Management,2023-05-03,2023-05-03,1.85,tons,0.21159375,May '23,Waste Management
Waste Management,2023-04-25,2023-05-03,1.4,tons,0.160125,May '23,Waste Management
Diesel,2023-04-28,2023-05-02,86.900002,gallons,0.91135247397474,May '23,
Diesel,2023-04-24,2023-04-28,81.900002,gallons,0.85891562397474,Apr '23,
Waste Management,2023-04-18,2023-04-25,2.24,tons,0.2562,Apr '23,Waste Management
Electricity,2023-04-21,2023-04-24,193.039597,kWh,0.052860675668368,Apr '23,
Diesel,2023-04-21,2023-04-24,75.0,gallons,0.7865527499999999,Apr '23,
Diesel,2023-04-17,2023-04-21,63.700001,gallons,0.6680454794873699,Apr '23,
Electricity,2023-04-03,2023-04-21,18.2377,kWh,0.004994090122541,Apr '23,
Waste Management,2023-04-17,2023-04-18,2.42,tons,0.2767875,Apr '23,Waste Management
Waste Management,2023-04-07,2023-04-17,2.88,tons,0.3294,Apr '23,Waste Management
Diesel,2023-04-14,2023-04-17,61.099998,gallons,0.64077828602526,Apr '23,
Diesel,2023-04-10,2023-04-14,59.5,gallons,0.6239985149999999,Apr '23,
Diesel,2023-04-07,2023-04-10,71.400002,gallons,0.74879823897474,Apr '23,
Diesel,2023-03-31,2023-04-07,80.699997,gallons,0.84633072753789,Apr '23,
Waste Management,2023-04-07,2023-04-07,2.93,tons,0.33511875,Apr '23,Waste Management
Waste Management,2023-04-03,2023-04-07,1.76,tons,0.2013,Apr '23,Waste Management
Electricity,2023-04-03,2023-04-03,15.6182,kWh,0.004276783714606,Apr '23,
Electricity,2023-04-03,2023-04-03,1.3273,kWh,0.000363458978909,Apr '23,
Electricity,2023-03-23,2023-04-03,643.789978,kWh,0.1762911534963668,Apr '23,
Waste Management,2023-03-27,2023-04-03,2.87,tons,0.32825625,Apr '23,Waste Management
Diesel,2023-03-28,2023-03-31,58.900002,gallons,0.61770611397474,Mar '23,
Diesel,2023-02-28,2023-03-28,91.300003,gallons,0.95749691246211,Mar '23,
Waste Management,2023-03-27,2023-03-27,2.83,tons,0.32368125,Mar '23,Waste Management
Waste Management,2023-03-21,2023-03-27,4.19,tons,0.4792312500000001,Mar '23,Waste Management
Electricity,2023-03-23,2023-03-23,12.0978,kWh,0.003312780859674,Mar '23,
Electricity,2023-03-23,2023-03-23,129.833603,kWh,0.035552767855388,Mar '23,
Electricity,2023-02-23,2023-03-23,1.3273,kWh,0.000363458978909,Mar '23,
Waste Management,2023-03-15,2023-03-21,2.6,tons,0.297375,Mar '23,Waste Management
Waste Management,2023-03-15,2023-03-15,3.88,tons,0.443775,Mar '23,Waste Management
Waste Management,2023-03-09,2023-03-15,4.36,tons,0.498675,Mar '23,Waste Management
Waste Management,2023-02-27,2023-03-09,3.09,tons,0.35341875,Mar '23,Waste Management
Diesel,2023-02-17,2023-02-28,603.900024,gallons,6.33332299469688,Feb '23,
Waste Management,2023-02-27,2023-02-27,4.11,tons,0.4700812500000001,Feb '23,Waste Management
Waste Management,2023-02-15,2023-02-27,1.9,tons,0.2173125,Feb '23,Waste Management
Electricity,2023-02-01,2023-02-23,330.070007,kWh,0.0903841691499333,Feb '23,
Diesel,2023-02-06,2023-02-17,6.737,gallons,0.07065341169,Feb '23,
Waste Management,2023-02-15,2023-02-15,3.47,tons,0.39688125,Feb '23,Waste Management
Waste Management,2023-02-08,2023-02-15,3.74,tons,0.4277625,Feb '23,Waste Management
Waste Management,2023-02-08,2023-02-08,4.89,tons,0.55929375,Feb '23,Waste Management
Waste Management,2023-01-30,2023-02-08,4.94,tons,0.5650125,Feb '23,Waste Management
Diesel,2023-01-31,2023-02-06,352.700012,gallons,3.69889552484844,Feb '23,
Electricity,2023-02-01,2023-02-01,3.9819,kWh,0.001090376936727,Feb '23,
Electricity,2023-02-01,2023-02-01,2377.0,kWh,0.65090182541,Feb '23,
Electricity,2023-02-01,2023-02-01,10422.0,kWh,2.85389096526,Feb '23,
Electricity,2023-01-25,2023-02-01,7788.0,kWh,2.13261397404,Feb '23,
Diesel,2023-01-27,2023-01-31,225.399994,gallons,2.36385313507578,Jan '23,
Waste Management,2023-01-23,2023-01-30,3.49,tons,0.39916875,Jan '23,Waste Management
Diesel,2023-01-24,2023-01-27,243.899994,gallons,2.55786948007578,Jan '23,
Electricity,2023-01-25,2023-01-25,2.6546,kWh,0.0007269179578179,Jan '23,
Electricity,2023-01-23,2023-01-25,6.3518,kWh,0.001739334545494,Jan '23,
Diesel,2023-01-17,2023-01-24,603.200012,gallons,6.32598170984844,Jan '23,
Electricity,2023-01-11,2023-01-23,207.194,kWh,0.0567366229760199,Jan '23,
Waste Management,2023-01-23,2023-01-23,6.27,tons,0.71713125,Jan '23,Waste Management
Waste Management,2023-01-16,2023-01-23,7.59,tons,0.86810625,Jan '23,Waste Management
Diesel,2023-01-11,2023-01-17,297.700012,gallons,3.12209017484844,Jan '23,
Waste Management,2023-01-16,2023-01-16,6.33,tons,0.72399375,Jan '23,Waste Management
Waste Management,2022-11-29,2023-01-16,5.27,tons,0.60275625,Jan '23,Waste Management
Electricity,2023-01-03,2023-01-11,26.389999,kWh,0.0072264613048666,Jan '23,
Diesel,2023-01-09,2023-01-11,531.700012,gallons,5.576134754848439,Jan '23,
Diesel,2023-01-05,2023-01-09,8.647,gallons,0.0906842883899999,Jan '23,
Diesel,2023-01-03,2023-01-05,241.0,gallons,2.52745617,Jan '23,
Diesel,2022-12-29,2023-01-03,242.5,gallons,2.543187225,Jan '23,
Electricity,2023-01-03,2023-01-03,11966.0,kWh,3.27668962678,Jan '23,
Electricity,2022-12-23,2023-01-03,12959.0,kWh,3.54860612347,Jan '23,
Diesel,2022-12-21,2022-12-29,435.600006,gallons,4.56829843492422,Dec '22,
Electricity,2022-12-03,2022-12-23,2.1203,kWh,0.000580608809599,Dec '22,
Diesel,2022-12-14,2022-12-21,408.600006,gallons,4.28513944492422,Dec '22,
