Description,Start Date,End Date,Quantity,Unit,tCO2e,Month,Material Type
Electricity,2023-05-23,2023-06-22,822,kWh,0.2608206,Jun '23,
Electricity,2023-04-20,2023-05-23,1109,kWh,0.30368116297,May '23,
Electricity,2023-03-22,2023-04-20,1608,kWh,0.44032399464,Apr '23,
Electricity,2023-02-21,2023-03-22,2191,kWh,0.59996882603,Mar '23,
Electricity,2023-01-23,2023-02-21,2103,kWh,0.57587149299,Feb '23,
Electricity,2022-12-21,2023-01-23,2652,kWh,0.72620599116,Jan '23,
Electricity,2022-11-22,2022-12-21,2632,kWh,0.72072932456,Dec '22,
Electricity,2022-10-24,2022-11-22,1927,kWh,0.52767682691,Nov '22,
Electricity,2022-09-21,2022-10-24,1045,kWh,0.28615582985,Oct '22,
Electricity,2022-08-23,2022-09-21,1048,kWh,0.28697732984,Sep '22,
Electricity,2022-07-25,2022-08-23,1257,kWh,0.34420849581,Aug '22,
Electricity,2022-06-23,2022-07-25,1140,kWh,0.3121699962,Jul '22,
Waste Management,2022-06-24,2022-06-29,18,dollars,0.0125398935,Jun '22,
Waste Management,2022-06-24,2022-06-24,60,dollars,0.041799645,Jun '22,
Electricity,2022-05-23,2022-06-23,916,kWh,0.25083133028,Jun '22,
Electricity,2022-05-02,2022-05-23,988,kWh,0.27054733004,May '22,
