Description,Start Date,End Date,Quantity,Unit,tCO2e,Month,Material Type
Waste Management,2023-09-07,2023-09-07,468.6,dollars,0.326449735458,Sep '23,
Waste Management,2023-08-09,2023-09-07,468.6,dollars,0.326449735458,Sep '23,
Gas,2023-08-17,2023-09-02,200.0,dollars,0.40165511170972,Aug '23,Gas
Diesel,2023-08-16,2023-08-31,167.37,dollars,0.3581922858931814,Jul '23,Diesels
Gas,2023-08-16,2023-08-17,6.497,gallons,0.0628798696209999,Jul '23,Gas
Diesel,2023-06-27,2023-08-16,34.633,gallons,0.389780492534,Jul '23,Diesels
Gas,2023-07-25,2023-08-16,34.633,gallons,0.335188321469,Jul '23,Gas
Waste Management,2023-07-03,2023-08-09,719.94,dollars,0.5015455026582001,Aug '23,
Gas,2023-07-20,2023-07-25,33.498001,gallons,0.29525875037422,Jul '23,
Electricity,2023-06-23,2023-07-20,31.0,gallons,0.0098363,Jun '23,Electricity
Gas,2023-07-20,2023-07-20,33.0,gallons,0.319383669,Jun '23,Gas
Gas,2023-07-18,2023-07-20,31.0,gallons,0.300027083,Jun '23,Gas
Gas,2023-07-10,2023-07-18,44.453999,gallons,0.39182732706578,Jul '23,
Gas,2023-06-30,2023-07-10,26.801001,gallons,0.23622991903422,Jul '23,
Waste Management,2023-06-19,2023-07-03,621.96,dollars,0.4332878306988001,Jul '23,
Gas,2023-06-27,2023-06-30,127.0,gallons,1.11940594,Jun '23,
Diesel,2023-05-24,2023-06-27,127.0,gallons,1.429333946,May '23,Diesels
Gas,2023-06-22,2023-06-27,37.366001,gallons,0.32935215333422,Jun '23,
Gas,2023-06-16,2023-06-22,39.646999,gallons,0.34945737152578,Jun '23,
Waste Management,2023-06-03,2023-06-19,593.56,dollars,0.4135029982468,Jun '23,
Gas,2023-06-14,2023-06-16,30.292,gallons,0.26700035224,Jun '23,
Gas,2023-06-14,2023-06-14,32.575001,gallons,0.28712322531422,Jun '23,
Gas,2023-06-08,2023-06-14,36.370998,gallons,0.32058197799156,Jun '23,
Gas,2023-06-01,2023-06-08,34.292,gallons,0.30225723224,Jun '23,
Waste Management,2023-05-16,2023-06-03,621.96,dollars,0.4332878306988001,Jun '23,
Gas,2023-05-24,2023-06-01,126.400002,gallons,1.11411742562844,Jun '23,
Diesel,2023-01-31,2023-05-24,126.4,gallons,1.4225811872,Apr '23,Diesels
Gas,2023-05-23,2023-05-24,34.493999,gallons,0.30403769586578,May '23,
Gas,2023-05-17,2023-05-23,36.75,gallons,0.323922585,May '23,
Gas,2023-05-10,2023-05-17,31.639999,gallons,0.27888191198578,May '23,
Waste Management,2023-04-19,2023-05-16,399.02,dollars,0.2779768959506,May '23,
Gas,2023-05-08,2023-05-10,29.259001,gallons,0.25789527179422,May '23,
Gas,2023-05-03,2023-05-08,34.277,gallons,0.30212501894,May '23,
Gas,2023-04-26,2023-05-03,28.708,gallons,0.25303862776,May '23,
Gas,2023-04-26,2023-04-26,39.610001,gallons,0.3491312630142199,Apr '23,
Gas,2023-04-18,2023-04-26,22.594999,gallons,0.19915729208578,Apr '23,
Waste Management,2023-02-27,2023-04-19,462.92,dollars,0.3224927689676,Apr '23,
Gas,2023-04-18,2023-04-18,34.692001,gallons,0.3057829290542199,Apr '23,
Gas,2023-04-01,2023-04-18,22.964001,gallons,0.20240975689422,Apr '23,
Gas,2023-03-31,2023-04-01,32.34,gallons,0.2850518748,Apr '23,
Gas,2023-02-09,2023-03-31,16.006001,gallons,0.14108041413422,Mar '23,
Waste Management,2023-01-30,2023-02-27,779.8,dollars,0.543246913594,Feb '23,
Gas,2022-12-29,2023-02-09,20.01,gallons,0.1763725422,Feb '23,
Diesel,2022-12-30,2023-01-31,1922.400024,gallons,20.16092033969688,Jan '23,
Waste Management,2023-01-12,2023-01-30,886.2,dollars,0.6173703703860001,Jan '23,
Waste Management,2023-01-05,2023-01-12,683.2,dollars,0.475950617296,Jan '23,
Waste Management,2022-12-13,2023-01-05,715.4,dollars,0.498382716062,Jan '23,
Diesel,2022-12-26,2022-12-30,2231.76001,gallons,23.4052929760737,Dec '22,
Gas,2022-12-13,2022-12-29,23.1,gallons,0.203608482,Dec '22,
Diesel,2022-11-22,2022-12-26,732.23999,gallons,7.679271703926299,Dec '22,
Gas,2022-12-13,2022-12-13,29.886999,gallons,0.26343058432578,Dec '22,
Waste Management,2022-11-15,2022-12-13,621.6,dollars,0.433037037048,Dec '22,
Gas,2022-09-07,2022-12-13,4.1,gallons,0.036138302,Dec '22,
Diesel,2022-08-04,2022-11-22,832.799988,gallons,8.73388161015156,Nov '22,
Waste Management,2022-10-22,2022-11-15,659.4,dollars,0.459370370382,Nov '22,
Waste Management,2022-10-22,2022-10-22,512.4,dollars,0.356962962972,Oct '22,
Gas,2022-08-22,2022-09-07,20.201,gallons,0.17805605822,Sep '22,
Gas,2022-08-16,2022-08-22,28.993,gallons,0.25555068046,Aug '22,
Gas,2022-08-08,2022-08-16,29.693001,gallons,0.26172064327422,Aug '22,
Gas,2022-07-28,2022-08-08,23.511,gallons,0.20723112642,Aug '22,
Diesel,2022-07-08,2022-08-04,528.960022,gallons,5.54739946592214,Aug '22,
Gas,2022-07-22,2022-07-28,11.605,gallons,0.1022890231,Jul '22,
Gas,2022-07-20,2022-07-22,12.05,gallons,0.106211351,Jul '22,
